"","60F_Avg","60M_Avg","48F_Avg","48M_Avg","36F_Avg","36M_Avg","18F_Avg","18M_Avg","7F_Avg","7M_Avg"
"gene-NAA40|NAA40",230.6,307.666666666667,205,291.2,227.4,201.8,301.2,203,382.6,352.4
"gene-MIA2|MIA2",2225.4,3275.33333333333,2344.4,2524.6,2268,3152.2,2733,2430,3201.8,3036.4
"gene-ASPN|ASPN",39.6,74.6666666666667,52.2,86.6,81.4,101.6,56.4,41,24.6,25.6
"gene-LOC132782099|LOC132782099",0,0,0,0.6,2,1.2,1.8,1.4,2,1.8
"gene-CUL5|CUL5",811,1362,1044,1291.2,991.2,1127.6,1358.6,1157.2,966.2,740.4
"gene-LOC132780277|LOC132780277",67.8,142.333333333333,134.4,173.2,115,167.2,165.6,112.4,171,131.4
"gene-ADCK5|ADCK5",65.6,186,136.8,163.6,134,201.8,123.8,88,197.6,130.4
"gene-PAX7|PAX7",0.4,1.66666666666667,0,0,0,2.2,0,0,0,0
"gene-LOC137095122|LOC137095122",5.6,8,5.2,1.6,1.8,1.8,4.4,1,5.6,4.2
"gene-PIGM|PIGM",17.4,55.6666666666667,37,52,38.4,46.8,62,31.2,49.6,50.2
"gene-WNK2|WNK2",79,252.333333333333,61.2,199.4,92.4,165.6,185.4,123.6,81.6,80.4
"gene-SBNO1|SBNO1",952.6,1606.33333333333,1082,1397,1421.8,1463.6,2059.2,1306,2212.4,1286
"gene-LOC132779495|LOC132779495",0.6,0,0,0,1,0,0,0,0,0
"gene-ZCCHC24|ZCCHC24",812.6,1246.66666666667,655.8,1011.8,1097.6,1058.2,1441.6,1183,1546.8,1073
"gene-LOC132782701|LOC132782701",22.4,17,10.8,17.2,15.4,14.6,23,17.6,17.2,11
"gene-LOC132764928|LOC132764928",3.8,6.33333333333333,5.2,5.2,2.4,5.8,5.6,4.6,2,0
"gene-FOXP4|FOXP4",3123.8,3387,2467.2,1916.4,2676,2462,5964.8,3495.4,6164.6,4077.6
"gene-LOC132769841|LOC132769841",5,20.3333333333333,0.8,3.8,1.2,3.8,1.6,3,4.4,1.2
"gene-LOC132782476|LOC132782476",2464.6,2502,3932.2,3560.4,3931.6,3607.4,4048.6,2564.8,4461.8,4655
"gene-LOC137097106|LOC137097106",0,0,0,0,0,0,0,0,0,410.4
"gene-LOC137094821|LOC137094821",694.8,878,891,1206.4,755.8,847.8,792.8,810.4,715.8,873.8
"gene-MLF1|MLF1",27.2,89,51.6,113,84.4,156.4,100.6,83.8,114.4,47.2
"gene-DGKG|DGKG",72.2,45,19.6,61.6,44.8,33.2,67.6,53,56.8,38
"gene-C1QBP|C1QBP",1467.6,2643.66666666667,2331.6,3622.8,2370.2,2793.4,2808.8,2695.6,3696.6,4031.8
"gene-LOC137095510|LOC137095510",74.6,120.666666666667,45.4,124.4,98.2,97.6,127.2,65.4,96.6,72
"gene-KIFAP3|KIFAP3",191.4,309,280.4,389,325,336.4,396,263.4,277,191.6
"gene-LOC132777322|LOC132777322",129.2,251,126.8,135.4,156,73.4,174,141.4,133.6,177.4
"gene-NME1|NME1",0,0.666666666666667,0,0.6,0,0,0,0,0,0
"gene-ENKD1|ENKD1",103.6,195,133.6,192.6,178.2,285.2,198,164,194.6,129.8
"gene-PLPP4|PLPP4",4.2,17.3333333333333,4,4,11.6,18.8,114,35.6,95.4,17.4
"gene-LOC132777368|LOC132777368",2.6,1,2.6,2,4.8,2.8,1.2,0.4,2.4,0.4
"gene-TEKT2|TEKT2",1.2,6,0,0,0,0.8,0.8,1,0.8,0
"gene-LAMTOR3|LAMTOR3",1091.6,2217,1387.4,2731.2,2238,1884.4,1609.2,983.8,1025.6,848.2
"gene-KCNE5|KCNE5",4.6,0.666666666666667,0,3,0.6,1,2.6,0.6,3,1
"gene-ITPKB|ITPKB",301.2,774.333333333333,387.8,749,416,614.2,817,618.8,473.2,426.2
"gene-EHBP1|EHBP1",659,1119.66666666667,648.6,972.4,695.8,999.4,802,721.2,746.2,634.4
"gene-HFM1|HFM1",3.4,1.66666666666667,5.2,73.6,0.8,20.2,1.4,2,0,0
"gene-LOC132782058|LOC132782058",1,0,2.4,0.6,0,0,3,0.6,4.2,0
"gene-KLHDC8A|KLHDC8A",56.8,149,116,282.2,122.2,113.2,66.6,27.2,18.6,8
"gene-HMGB2|HMGB2",4124.6,6395.33333333333,3382.4,4823.6,4227.8,4079.6,5354.8,4440.2,8660.8,6156.2
"gene-LOC132782670|LOC132782670",55.4,176.333333333333,75.6,156.6,102,157,230.2,220.2,270.8,173.4
"gene-LRRC51|LRRC51",64,48,37,34.8,75.2,50.8,91.6,64.6,177.6,68.4
"gene-LOC132763597|LOC132763597",3.4,3.33333333333333,6,1.2,0,0.8,4.6,3,4,4.2
"gene-RASGRP2|RASGRP2",153,154.333333333333,111.4,205.6,192.2,198.8,339.8,212.2,269.4,189.2
"gene-LPCAT2|LPCAT2",85.2,431.666666666667,137.8,461.2,214,358,405,255.2,202.8,141.4
"gene-LOC137096326|LOC137096326",5.2,7,8,3.6,8.6,7.2,6.4,7,9.4,6.8
"gene-LOC132769798|LOC132769798",0,0,0,0,0,0,0,0,0,0
"gene-LOC132775340|LOC132775340",95.2,241.666666666667,223.6,273.2,353.6,221.6,409,279,374.6,249.4
"gene-BCL6|BCL6",189.8,147,239.4,149.6,164.6,263.4,719.2,194.6,467.2,109
"gene-THADA|THADA",37.6,130,51.4,103.6,54.6,103,78,69.8,63,56.4
"gene-GPR34|GPR34",223.8,929,195.2,981.8,214.6,362.4,300.8,220.4,40.2,28.4
"gene-LOC132772414|LOC132772414",0,0,0,0,0,0,0,0,0,0
"gene-ARL5A|ARL5A",922.6,1314.33333333333,1068.2,1390.2,1195.2,1280,1417.8,1133,1100.8,739
"gene-NTMT2|NTMT2",0,16.3333333333333,21.6,0.8,0,2.4,1.6,14.6,1.2,0
